Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Boiler,Blue Groove > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/106935143/boiler,2.8,-1,Sport,5.11c,1,25,42.21402,-91.08124
Blue Groove,Blue Groove > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/114525575/blue-groove,2,-1,Sport,5.11d,1,,42.21402,-91.08124
Spearhead,Boneless Chicken Ranch > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/106272599/spearhead,2.4,-1,Sport,5.7,1,25,42.21836,-91.08123
Crap Attack,Boneless Chicken Ranch > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/106272614/crap-attack,2.9,-1,Sport,5.8-,1,25,42.21836,-91.08123
Flavor Blasted Spermacide,Boneless Chicken Ranch > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/106272595/flavor-blasted-spermacide,2.6,-1,Sport,5.9,1,45,42.21836,-91.08123
Between the Sheets,Boneless Chicken Ranch > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/106272609/between-the-sheets,2.8,-1,Sport,5.11a,1,50,42.21836,-91.08123
Talent Show,Boneless Chicken Ranch > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/106272620/talent-show,3.1,-1,Sport,5.11a,1,50,42.21836,-91.08123
Bat Attack,Boneless Chicken Ranch > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/106272625/bat-attack,2.5,-1,Sport,5.11a,1,35,42.21836,-91.08123
Fighting Fish,Boneless Chicken Ranch > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/106272590/fighting-fish,2.9,-1,Sport,5.11b,1,,42.21836,-91.08123
In Through the Outhole,Boneless Chicken Ranch > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/106272604/in-through-the-outhole,1.3,-1,Sport,5.11b,1,50,42.21836,-91.08123
Praying Mantle Direct,The Dam Wall Bouldering > Bouldering > Palisades Kepler State Park > Iowa,https://www.mountainproject.com/route/124688780/praying-mantle-direct,3,-1,"TR, Boulder",5.7 V0 PG13,1,,41.90222,-91.50671
Old Gold,The Dam Wall Bouldering > Bouldering > Palisades Kepler State Park > Iowa,https://www.mountainproject.com/route/124965257/old-gold,4,-1,"TR, Boulder",5.9 V0+,1,15,41.90222,-91.50671
Kippered Devi,Outlook > Top-Rope/Trad > Palisades Kepler State Park > Iowa,https://www.mountainproject.com/route/106404883/kippered-devi,2.4,-1,TR,5.7,1,55,41.90999,-91.51209
Volsova Maneuver,Raccoon Cove > Top-Rope/Trad > Palisades Kepler State Park > Iowa,https://www.mountainproject.com/route/106415711/volsova-maneuver,2,-1,TR,5.7,1,25,41.91363,-91.50749
B.K.,Raccoon Cove > Top-Rope/Trad > Palisades Kepler State Park > Iowa,https://www.mountainproject.com/route/106415721/bk,2.5,-1,TR,5.8,1,,41.91363,-91.50749
Michael's Misery,Raccoon Cove > Top-Rope/Trad > Palisades Kepler State Park > Iowa,https://www.mountainproject.com/route/106407550/michaels-misery,3,-1,TR,5.9,1,25,41.91363,-91.50749
